Train,Time_Steps,Extrinsic Reward,Extrinsic Reward Rate,Critic_Loss,Actor_loss,Curiosity_Loss,Forward_Loss,Inverse_Loss
Train,1213440,130.0,0.025390625,1.1850098,0.36987296,2.5310464,0.011304381,2.5197418
Train,1218560,100.0,0.01953125,1.2449108,0.4143857,2.5311341,0.012191093,2.518943
Train,1223680,140.0,0.02734375,1.2641524,0.41812626,2.5195446,0.012878487,2.506666
Train,1228800,140.0,0.02734375,1.2798306,0.28007722,2.5409424,0.010991991,2.5299504
Train,1233920,120.0,0.0234375,1.4705825,0.57344645,2.570781,0.009642611,2.5611382
Train,1239040,190.0,0.037109375,2.016312,0.7092375,2.5316122,0.011364973,2.520247
Train,1244160,120.0,0.0234375,1.2611278,0.029935298,2.529684,0.010815679,2.5188687
Train,1249280,140.0,0.02734375,1.4624844,0.19500345,2.5359018,0.010454168,2.5254476
Train,1254400,80.0,0.015625,0.7033628,-0.087853864,2.5232882,0.012069941,2.511218
Train,1259520,100.0,0.01953125,0.9130433,-0.31439918,2.5545323,0.011176756,2.5433557
Train,1264640,180.0,0.03515625,1.9855076,0.30873728,2.525314,0.011468092,2.5138462
Train,1269760,180.0,0.03515625,1.7569207,0.37450355,2.509608,0.0120157,2.4975927
Train,1274880,160.0,0.03125,1.4166241,0.31677425,2.519128,0.0125040235,2.5066242
Train,1280000,160.0,0.03125,1.5409325,0.48472196,2.5104318,0.0121978065,2.4982338
Train,1285120,150.0,0.029296875,1.5951347,0.538082,2.5332067,0.011163396,2.5220432
Train,1290240,130.0,0.025390625,1.3222054,0.19834092,2.5114994,0.01301634,2.4984832
Train,1295360,180.0,0.03515625,1.4294624,0.39404377,2.4673626,0.014370173,2.4529927
Train,1300480,120.0,0.0234375,0.6896825,-0.016476255,2.4835937,0.013735491,2.4698582
Train,1305600,130.0,0.025390625,1.1994209,0.49743176,2.4906197,0.012699909,2.4779198
Train,1310720,160.0,0.03125,1.9704071,0.752167,2.4688053,0.015879733,2.4529257
Train,1315840,150.0,0.029296875,1.3354208,0.1800811,2.4921536,0.015151465,2.4770021
Train,1320960,110.0,0.021484375,0.7431502,-0.11538721,2.510454,0.014090001,2.4963639
Train,1326080,170.0,0.033203125,1.2699549,0.43865567,2.5252817,0.013264069,2.5120175
Train,1331200,140.0,0.02734375,1.1186854,0.23040149,2.4907353,0.0148824975,2.475853
Train,1336320,120.0,0.0234375,1.1138296,0.23031624,2.4606242,0.016577495,2.4440467
Train,1341440,90.0,0.017578125,0.99427825,0.38323423,2.4574616,0.01834669,2.4391148
Train,1346560,160.0,0.03125,1.4219059,0.39626297,2.458381,0.01732505,2.4410558
Train,1351680,160.0,0.03125,1.2798764,0.27336073,2.466067,0.01604774,2.4500194
Train,1356800,130.0,0.025390625,1.2015866,0.37264225,2.467742,0.01654813,2.451194
Train,1361920,200.0,0.0390625,1.3876139,0.023428869,2.4673717,0.015654327,2.4517174
Train,1367040,190.0,0.037109375,1.6982454,0.3461008,2.4485302,0.017318515,2.431212
Train,1372160,170.0,0.033203125,1.0869788,0.01300774,2.44678,0.018058794,2.4287212
Train,1377280,110.0,0.021484375,1.0771736,0.22139214,2.4683163,0.016949369,2.451367
Train,1382400,200.0,0.0390625,1.4777325,0.18696752,2.439469,0.018992526,2.4204767
Train,1387520,190.0,0.037109375,1.2800353,0.15746616,2.4375455,0.018148405,2.419397
Train,1392640,140.0,0.02734375,1.2270135,0.37513503,2.4354348,0.018368462,2.4170663
Train,1397760,190.0,0.037109375,1.5785664,0.40723938,2.4234707,0.01941891,2.4040515
Train,1402880,170.0,0.033203125,0.9609173,0.050921943,2.4021711,0.022280917,2.3798902
Train,1408000,210.0,0.041015625,1.7573436,0.4753791,2.4172242,0.021416077,2.395808
Train,1413120,130.0,0.025390625,0.966988,0.08760193,2.4335282,0.019282047,2.414246
Train,1418240,230.0,0.044921875,1.46766,0.25382552,2.4197137,0.02013026,2.3995836
Train,1423360,160.0,0.03125,1.5481457,0.46885115,2.4073014,0.022165895,2.3851354
Train,1428480,180.0,0.03515625,1.6823819,0.3897243,2.3886983,0.021729479,2.3669686
Train,1433600,220.0,0.04296875,1.8822902,0.47908133,2.4029605,0.021591278,2.3813694
Train,1438720,180.0,0.03515625,1.5747229,0.2916117,2.3831143,0.02339471,2.3597195
Train,1443840,170.0,0.033203125,1.5513675,0.42044896,2.3853366,0.022427468,2.362909
Train,1448960,190.0,0.037109375,1.6613079,0.48112574,2.3621726,0.022823412,2.339349
Train,1454080,170.0,0.033203125,1.3757651,-0.0030719787,2.377125,0.023394732,2.3537302
Train,1459200,240.0,0.046875,1.4659064,0.037494436,2.347321,0.026644552,2.3206766
Train,1464320,210.0,0.041015625,1.6553214,0.29794872,2.3614316,0.025860537,2.335571
Train,1469440,180.0,0.03515625,1.7935822,0.58823174,2.3662565,0.022776045,2.3434803
Train,1474560,200.0,0.0390625,1.3593317,0.17238086,2.3516953,0.025028965,2.3266664
Train,1479680,130.0,0.025390625,1.5116504,0.5835409,2.352598,0.024445364,2.328153
Train,1484800,140.0,0.02734375,1.3466953,0.43977508,2.382122,0.021218907,2.3609028
Train,1489920,220.0,0.04296875,2.0388057,0.70184743,2.3509617,0.025901604,2.32506
Train,1495040,160.0,0.03125,1.4437462,0.5605746,2.3576162,0.025568146,2.3320482
Train,1500160,130.0,0.025390625,0.73432744,0.03417676,2.3528943,0.02323923,2.3296554
