Type,Time_Steps,Total_Rewards,Reward_Rate
Test - Datasize: 5000,1470000,500.0,0.1
Train - Datasize: 10000 ,1480000,860.0,0.086
Test - Datasize: 5000,1480000,450.0,0.09
Train - Datasize: 10000 ,1490000,920.0,0.092
Test - Datasize: 5000,1490000,450.0,0.09
Train - Datasize: 10000 ,1500000,1010.0,0.101
Test - Datasize: 5000,1500000,450.0,0.09
Train - Datasize: 10000 ,1510000,940.0,0.094
Test - Datasize: 5000,1510000,390.0,0.078
Train - Datasize: 10000 ,1520000,780.0,0.078
Test - Datasize: 5000,1520000,400.0,0.08
Train - Datasize: 10000 ,1530000,840.0,0.084
Test - Datasize: 5000,1530000,300.0,0.06
Train - Datasize: 10000 ,1540000,580.0,0.058
Test - Datasize: 5000,1540000,420.0,0.084
Train - Datasize: 10000 ,1550000,740.0,0.074
Test - Datasize: 5000,1550000,330.0,0.066
Train - Datasize: 10000 ,1560000,960.0,0.096
Test - Datasize: 5000,1560000,450.0,0.09
Train - Datasize: 10000 ,1570000,810.0,0.081
Test - Datasize: 5000,1570000,420.0,0.084
Train - Datasize: 10000 ,1580000,710.0,0.071
Test - Datasize: 5000,1580000,380.0,0.076
Train - Datasize: 10000 ,1590000,860.0,0.086
Test - Datasize: 5000,1590000,450.0,0.09
Train - Datasize: 10000 ,1600000,970.0,0.097
Test - Datasize: 5000,1600000,670.0,0.134
Train - Datasize: 10000 ,1610000,1000.0,0.1
Test - Datasize: 5000,1610000,540.0,0.108
Train - Datasize: 10000 ,1620000,1130.0,0.113
Test - Datasize: 5000,1620000,570.0,0.114
Train - Datasize: 10000 ,1630000,1160.0,0.116
Test - Datasize: 5000,1630000,440.0,0.088
Train - Datasize: 10000 ,1640000,1010.0,0.101
Test - Datasize: 5000,1640000,710.0,0.142
Train - Datasize: 10000 ,1650000,1150.0,0.115
Test - Datasize: 5000,1650000,590.0,0.118
Train - Datasize: 10000 ,1660000,1250.0,0.125
Test - Datasize: 5000,1660000,630.0,0.126
Train - Datasize: 10000 ,1670000,1280.0,0.128
Test - Datasize: 5000,1670000,640.0,0.128
Train - Datasize: 10000 ,1680000,1180.0,0.118
Test - Datasize: 5000,1680000,570.0,0.114
Train - Datasize: 10000 ,1690000,1090.0,0.109
Test - Datasize: 5000,1690000,530.0,0.106
Train - Datasize: 10000 ,1700000,1100.0,0.11
Test - Datasize: 5000,1700000,460.0,0.092
Train - Datasize: 10000 ,1710000,960.0,0.096
Test - Datasize: 5000,1710000,560.0,0.112
Train - Datasize: 10000 ,1720000,1170.0,0.117
Test - Datasize: 5000,1720000,500.0,0.1
Train - Datasize: 10000 ,1730000,900.0,0.09
Test - Datasize: 5000,1730000,570.0,0.114
Train - Datasize: 10000 ,1740000,1180.0,0.118
Test - Datasize: 5000,1740000,480.0,0.096
Train - Datasize: 10000 ,1750000,1250.0,0.125
Test - Datasize: 5000,1750000,720.0,0.144
Train - Datasize: 10000 ,1760000,1130.0,0.113
Test - Datasize: 5000,1760000,480.0,0.096
Train - Datasize: 10000 ,1770000,1010.0,0.101
Test - Datasize: 5000,1770000,610.0,0.122
Train - Datasize: 10000 ,1780000,890.0,0.089
Test - Datasize: 5000,1780000,540.0,0.108
Train - Datasize: 10000 ,1790000,1080.0,0.108
Test - Datasize: 5000,1790000,530.0,0.106
Train - Datasize: 10000 ,1800000,1050.0,0.105
Test - Datasize: 5000,1800000,520.0,0.104
Train - Datasize: 10000 ,1810000,970.0,0.097
Test - Datasize: 5000,1810000,490.0,0.098
Train - Datasize: 10000 ,1820000,910.0,0.091
Test - Datasize: 5000,1820000,410.0,0.082
Train - Datasize: 10000 ,1830000,1090.0,0.109
Test - Datasize: 5000,1830000,510.0,0.102
Train - Datasize: 10000 ,1840000,820.0,0.082
Test - Datasize: 5000,1840000,390.0,0.078
Train - Datasize: 10000 ,1850000,950.0,0.095
Test - Datasize: 5000,1850000,500.0,0.1
Train - Datasize: 10000 ,1860000,760.0,0.076
Test - Datasize: 5000,1860000,420.0,0.084
Train - Datasize: 10000 ,1870000,820.0,0.082
Test - Datasize: 5000,1870000,320.0,0.064
Train - Datasize: 10000 ,1880000,770.0,0.077
Test - Datasize: 5000,1880000,470.0,0.094
Train - Datasize: 10000 ,1890000,850.0,0.085
Test - Datasize: 5000,1890000,330.0,0.066
Train - Datasize: 10000 ,1900000,730.0,0.073
Test - Datasize: 5000,1900000,530.0,0.106
Train - Datasize: 10000 ,1910000,770.0,0.077
Test - Datasize: 5000,1910000,580.0,0.116
Train - Datasize: 10000 ,1920000,900.0,0.09
Test - Datasize: 5000,1920000,430.0,0.086
Train - Datasize: 10000 ,1930000,930.0,0.093
Test - Datasize: 5000,1930000,540.0,0.108
Train - Datasize: 10000 ,1940000,960.0,0.096
Test - Datasize: 5000,1940000,580.0,0.116
Train - Datasize: 10000 ,1950000,1080.0,0.108
Test - Datasize: 5000,1950000,600.0,0.12
Train - Datasize: 10000 ,1960000,930.0,0.093
Test - Datasize: 5000,1960000,450.0,0.09
Train - Datasize: 10000 ,1970000,920.0,0.092
Test - Datasize: 5000,1970000,590.0,0.118
Train - Datasize: 10000 ,1980000,930.0,0.093
Test - Datasize: 5000,1980000,460.0,0.092
Train - Datasize: 10000 ,1990000,720.0,0.072
Test - Datasize: 5000,1990000,430.0,0.086
Train - Datasize: 10000 ,2000000,1000.0,0.1
Test - Datasize: 5000,2000000,470.0,0.094
