Type,Time_Steps,Total_Rewards,Reward_Rate,Critic_Loss,Actor_Loss,Total_Loss
Train,849920,360,0.0703125,1.9713157,0.23817858,2.2094944
Test,849920,270,0.052734375,,,
Train,855040,290,0.056640625,2.0364492,0.3370562,2.3735054
Test,855040,400,0.078125,,,
Train,860160,320,0.0625,2.5169628,0.44371027,2.960673
Test,860160,390,0.076171875,,,
Train,865280,310,0.060546875,1.5859246,-0.10009107,1.4858335
Test,865280,320,0.0625,,,
Train,870400,350,0.068359375,1.79682,-0.002256428,1.7945637
Test,870400,340,0.06640625,,,
Train,875520,410,0.080078125,2.3745093,0.15641971,2.530929
Test,875520,440,0.0859375,,,
Train,880640,380,0.07421875,2.3886316,0.2734816,2.6621132
Test,880640,330,0.064453125,,,
Train,885760,320,0.0625,1.8149579,0.08585544,1.9008133
Test,885760,410,0.080078125,,,
Train,890880,440,0.0859375,2.6978848,0.47355336,3.1714382
Test,890880,380,0.07421875,,,
Train,896000,260,0.05078125,1.7444779,0.18213175,1.9266096
Test,896000,380,0.07421875,,,
Train,901120,330,0.064453125,1.9168911,0.21305825,2.1299493
Test,901120,390,0.076171875,,,
Train,906240,270,0.052734375,1.7731816,0.2153596,1.9885411
Test,906240,290,0.056640625,,,
Train,911360,290,0.056640625,1.3254932,-0.04076378,1.2847295
Test,911360,340,0.06640625,,,
Train,916480,330,0.064453125,2.137869,0.45149472,2.5893636
Test,916480,310,0.060546875,,,
Train,921600,440,0.0859375,2.552061,0.6566935,3.2087545
Test,921600,320,0.0625,,,
Train,926720,270,0.052734375,2.1701179,0.50104547,2.6711633
Test,926720,310,0.060546875,,,
Train,931840,250,0.048828125,1.8027623,0.23362067,2.036383
Test,931840,280,0.0546875,,,
Train,936960,290,0.056640625,1.7310036,0.056052495,1.7870561
Test,936960,280,0.0546875,,,
Train,942080,280,0.0546875,1.7712262,0.18231511,1.9535413
Test,942080,240,0.046875,,,
Train,947200,310,0.060546875,2.575466,0.43407148,3.0095375
Test,947200,340,0.06640625,,,
Train,952320,300,0.05859375,2.0579634,0.17206216,2.2300255
Test,952320,240,0.046875,,,
Train,957440,310,0.060546875,2.1315982,0.2932567,2.424855
Test,957440,280,0.0546875,,,
Train,962560,320,0.0625,1.9366884,0.18582597,2.1225145
Test,962560,340,0.06640625,,,
Train,967680,270,0.052734375,2.046314,0.22898462,2.2752986
Test,967680,370,0.072265625,,,
Train,972800,340,0.06640625,2.0202415,0.15541895,2.1756604
Test,972800,290,0.056640625,,,
Train,977920,290,0.056640625,1.8195307,0.15994978,1.9794805
Test,977920,270,0.052734375,,,
Train,983040,200,0.0390625,1.3685418,0.121404134,1.489946
Test,983040,290,0.056640625,,,
Train,988160,270,0.052734375,1.5258222,0.29615283,1.821975
Test,988160,280,0.0546875,,,
Train,993280,350,0.068359375,2.1342142,0.29322344,2.4274375
Test,993280,420,0.08203125,,,
Train,998400,240,0.046875,1.2404168,0.049685553,1.2901024
Test,998400,320,0.0625,,,
Train,1003520,230,0.044921875,1.4859762,0.034217976,1.5201942
Test,1003520,310,0.060546875,,,
Train,1008640,340,0.06640625,2.2374995,0.41394645,2.6514459
Test,1008640,250,0.048828125,,,
Train,1013760,340,0.06640625,2.2974503,0.1750879,2.4725382
Test,1013760,280,0.0546875,,,
Train,1018880,300,0.05859375,2.148957,0.28410703,2.433064
Test,1018880,270,0.052734375,,,
Train,1024000,300,0.05859375,2.0823596,0.19858006,2.2809396
Test,1024000,300,0.05859375,,,
Train,1029120,300,0.05859375,1.841259,0.023341317,1.8646003
Test,1029120,360,0.0703125,,,
Train,1034240,230,0.044921875,1.5964454,0.08751027,1.6839557
Test,1034240,350,0.068359375,,,
Train,1039360,280,0.0546875,1.8456692,0.17590015,2.0215693
Test,1039360,350,0.068359375,,,
Train,1044480,300,0.05859375,2.2521799,0.34997758,2.6021574
Test,1044480,320,0.0625,,,
Train,1049600,280,0.0546875,1.927203,0.0727497,1.9999528
Test,1049600,350,0.068359375,,,
Train,1054720,290,0.056640625,2.1226954,0.17549394,2.2981894
Test,1054720,330,0.064453125,,,
Train,1059840,320,0.0625,1.7599831,0.10519265,1.8651757
Test,1059840,230,0.044921875,,,
Train,1064960,390,0.076171875,2.3368232,0.19338661,2.5302098
Test,1064960,370,0.072265625,,,
Train,1070080,400,0.078125,2.3348463,0.20563541,2.5404816
Test,1070080,310,0.060546875,,,
Train,1075200,240,0.046875,1.902385,0.20826966,2.1106546
Test,1075200,260,0.05078125,,,
Train,1080320,250,0.048828125,1.7381028,0.14075366,1.8788564
Test,1080320,340,0.06640625,,,
Train,1085440,350,0.068359375,2.2067974,0.1986619,2.4054592
Test,1085440,290,0.056640625,,,
Train,1090560,230,0.044921875,1.298247,-0.046239406,1.2520076
Test,1090560,330,0.064453125,,,
Train,1095680,270,0.052734375,1.5648085,0.106395856,1.6712043
Test,1095680,250,0.048828125,,,
Train,1100800,320,0.0625,1.8200521,0.24939317,2.0694454
Test,1100800,300,0.05859375,,,
Train,1105920,260,0.05078125,2.1037657,0.39264432,2.4964101
Test,1105920,180,0.03515625,,,
Train,1111040,300,0.05859375,1.5674838,0.13791546,1.7053993
Test,1111040,370,0.072265625,,,
Train,1116160,260,0.05078125,1.4364113,0.09795612,1.5343673
Test,1116160,340,0.06640625,,,
Train,1121280,260,0.05078125,1.9537448,0.16113172,2.1148765
Test,1121280,290,0.056640625,,,
Train,1126400,280,0.0546875,1.6102394,0.04278949,1.6530288
Test,1126400,270,0.052734375,,,
Train,1131520,240,0.046875,1.5801569,0.11414224,1.6942992
Test,1131520,220,0.04296875,,,
Train,1136640,280,0.0546875,1.7865378,0.2359946,2.0225325
Test,1136640,260,0.05078125,,,
Train,1141760,300,0.05859375,2.0630023,0.2746514,2.3376536
Test,1141760,320,0.0625,,,
Train,1146880,310,0.060546875,1.979509,0.2072763,2.1867852
Test,1146880,260,0.05078125,,,
Train,1152000,290,0.056640625,1.997444,0.46767208,2.465116
Test,1152000,240,0.046875,,,
Train,1157120,280,0.0546875,2.32397,0.35353848,2.6775086
Test,1157120,400,0.078125,,,
Train,1162240,290,0.056640625,2.2425315,0.39733922,2.6398706
Test,1162240,390,0.076171875,,,
Train,1167360,330,0.064453125,2.2464035,0.22258672,2.46899
Test,1167360,270,0.052734375,,,
Train,1172480,220,0.04296875,1.7068446,0.058139794,1.7649844
Test,1172480,310,0.060546875,,,
Train,1177600,210,0.041015625,1.6735686,0.101914465,1.7754831
Test,1177600,260,0.05078125,,,
Train,1182720,190,0.037109375,1.4955078,0.08333248,1.5788403
Test,1182720,330,0.064453125,,,
Train,1187840,240,0.046875,1.7668896,0.1704018,1.9372914
Test,1187840,350,0.068359375,,,
Train,1192960,270,0.052734375,1.7204682,0.11546602,1.8359342
Test,1192960,270,0.052734375,,,
Train,1198080,200,0.0390625,1.3782367,-0.08657976,1.2916569
Test,1198080,350,0.068359375,,,
Train,1203200,280,0.0546875,2.3750355,0.51442057,2.889456
Test,1203200,280,0.0546875,,,
Train,1208320,290,0.056640625,1.7038739,0.07654796,1.7804219
Test,1208320,280,0.0546875,,,
Train,1213440,220,0.04296875,1.4695007,0.030763125,1.5002638
Test,1213440,220,0.04296875,,,
Train,1218560,250,0.048828125,1.5874851,0.15873137,1.7462164
Test,1218560,350,0.068359375,,,
Train,1223680,250,0.048828125,1.7598308,0.11691626,1.8767471
Test,1223680,350,0.068359375,,,
Train,1228800,330,0.064453125,1.7715088,-0.001979359,1.7695295
Test,1228800,230,0.044921875,,,
Train,1233920,220,0.04296875,1.1090475,-0.021394253,1.0876533
Test,1233920,360,0.0703125,,,
Train,1239040,290,0.056640625,1.5588863,0.12365449,1.6825408
Test,1239040,210,0.041015625,,,
Train,1244160,310,0.060546875,2.777273,0.4715237,3.2487967
Test,1244160,200,0.0390625,,,
Train,1249280,290,0.056640625,1.7038277,0.27737758,1.9812053
Test,1249280,320,0.0625,,,
Train,1254400,240,0.046875,2.0025785,0.33201644,2.334595
Test,1254400,310,0.060546875,,,
Train,1259520,250,0.048828125,1.5952101,0.16340233,1.7586124
Test,1259520,270,0.052734375,,,
Train,1264640,230,0.044921875,1.8658705,0.14894265,2.0148132
Test,1264640,340,0.06640625,,,
Train,1269760,220,0.04296875,1.1000798,-0.034388773,1.065691
Test,1269760,290,0.056640625,,,
Train,1274880,240,0.046875,1.4653305,0.08267216,1.5480026
Test,1274880,390,0.076171875,,,
Train,1280000,280,0.0546875,1.911274,0.23932883,2.1506028
Test,1280000,340,0.06640625,,,
Train,1285120,270,0.052734375,1.3392489,-0.020142425,1.3191065
Test,1285120,300,0.05859375,,,
Train,1290240,310,0.060546875,1.9023819,0.32248983,2.2248716
Test,1290240,280,0.0546875,,,
Train,1295360,240,0.046875,1.2300752,0.036513012,1.2665882
Test,1295360,300,0.05859375,,,
Train,1300480,340,0.06640625,1.5961584,0.038599413,1.6347578
Test,1300480,380,0.07421875,,,
Train,1305600,300,0.05859375,1.6808757,0.06882212,1.7496978
Test,1305600,290,0.056640625,,,
Train,1310720,280,0.0546875,1.5935718,0.070750415,1.6643221
Test,1310720,180,0.03515625,,,
Train,1315840,350,0.068359375,2.2286408,0.3435973,2.572238
Test,1315840,150,0.029296875,,,
Train,1320960,190,0.037109375,1.1476434,-0.103771225,1.0438722
Test,1320960,260,0.05078125,,,
Train,1326080,250,0.048828125,1.3046417,-0.00153474,1.303107
Test,1326080,280,0.0546875,,,
Train,1331200,230,0.044921875,1.8140262,0.19378504,2.0078113
Test,1331200,270,0.052734375,,,
Train,1336320,170,0.033203125,1.2087768,0.10195041,1.3107272
Test,1336320,260,0.05078125,,,
Train,1341440,210,0.041015625,1.3423569,0.15226844,1.4946253
Test,1341440,290,0.056640625,,,
Train,1346560,250,0.048828125,1.9533325,0.33241022,2.2857428
Test,1346560,210,0.041015625,,,
Train,1351680,240,0.046875,1.4686793,0.20572998,1.6744093
Test,1351680,240,0.046875,,,
Train,1356800,270,0.052734375,1.520485,0.2311525,1.7516376
Test,1356800,220,0.04296875,,,
Train,1361920,240,0.046875,1.6311244,0.16479364,1.795918
Test,1361920,190,0.037109375,,,
Train,1367040,240,0.046875,1.7603474,0.2582182,2.0185657
Test,1367040,130,0.025390625,,,
Train,1372160,230,0.044921875,1.3829584,0.0990195,1.4819779
Test,1372160,290,0.056640625,,,
Train,1377280,130,0.025390625,0.90725464,-0.08450552,0.82274914
Test,1377280,190,0.037109375,,,
Train,1382400,220,0.04296875,1.8886722,0.20288421,2.0915565
Test,1382400,210,0.041015625,,,
Train,1387520,230,0.044921875,2.0220935,0.21478188,2.2368755
Test,1387520,120,0.0234375,,,
Train,1392640,170,0.033203125,1.6060276,0.24454296,1.8505706
Test,1392640,200,0.0390625,,,
Train,1397760,200,0.0390625,1.5165642,0.23162211,1.7481863
Test,1397760,240,0.046875,,,
Train,1402880,170,0.033203125,1.0003372,-0.11900458,0.88133264
Test,1402880,150,0.029296875,,,
Train,1408000,180,0.03515625,1.1640074,-0.026065083,1.1379423
Test,1408000,160,0.03125,,,
Train,1413120,200,0.0390625,1.2350578,-0.03250497,1.2025529
Test,1413120,170,0.033203125,,,
Train,1418240,150,0.029296875,1.5207558,0.23121874,1.7519745
Test,1418240,180,0.03515625,,,
Train,1423360,140,0.02734375,1.4687914,0.26425162,1.733043
Test,1423360,90,0.017578125,,,
